NOTE: All times are in milliseconds


AverageTime{driverType=FIFO, averageWaitTime=2083, averageReadyTime=2316, averageExecutionTime=-1458115798554, averageLifetime=-1458115794155, averageNumberOfIoOperations=569}

ProcessStats{id=1, priority=2, timeSpentReady=4, timeSpentWaiting=13, timeSpentExecuting=47, lifetime=64, numberOfIoOperationsMade=29}
ProcessStats{id=2, priority=4, timeSpentReady=51, timeSpentWaiting=13, timeSpentExecuting=10, lifetime=74, numberOfIoOperationsMade=17}
ProcessStats{id=3, priority=6, timeSpentReady=61, timeSpentWaiting=13, timeSpentExecuting=14, lifetime=88, numberOfIoOperationsMade=17}
ProcessStats{id=4, priority=5, timeSpentReady=75, timeSpentWaiting=13, timeSpentExecuting=14, lifetime=102, numberOfIoOperationsMade=23}
ProcessStats{id=5, priority=3, timeSpentReady=89, timeSpentWaiting=13, timeSpentExecuting=7, lifetime=109, numberOfIoOperationsMade=17}
ProcessStats{id=6, priority=7, timeSpentReady=96, timeSpentWaiting=13, timeSpentExecuting=6, lifetime=115, numberOfIoOperationsMade=17}
ProcessStats{id=7, priority=5, timeSpentReady=102, timeSpentWaiting=13, timeSpentExecuting=10, lifetime=125, numberOfIoOperationsMade=23}
ProcessStats{id=8, priority=16, timeSpentReady=108, timeSpentWaiting=17, timeSpentExecuting=6, lifetime=131, numberOfIoOperationsMade=23}
ProcessStats{id=9, priority=2, timeSpentReady=114, timeSpentWaiting=17, timeSpentExecuting=5, lifetime=136, numberOfIoOperationsMade=17}
ProcessStats{id=10, priority=10, timeSpentReady=119, timeSpentWaiting=17, timeSpentExecuting=4, lifetime=140, numberOfIoOperationsMade=17}
ProcessStats{id=11, priority=3, timeSpentReady=123, timeSpentWaiting=17, timeSpentExecuting=5, lifetime=145, numberOfIoOperationsMade=17}
ProcessStats{id=12, priority=9, timeSpentReady=128, timeSpentWaiting=17, timeSpentExecuting=4, lifetime=149, numberOfIoOperationsMade=17}
ProcessStats{id=13, priority=12, timeSpentReady=132, timeSpentWaiting=17, timeSpentExecuting=4, lifetime=153, numberOfIoOperationsMade=17}
